"Gene"	"IS01"	"IS02"	"State"	"MaxFC"	"InitialState"
"RPL18"	"RPL18"	0.666675810491612	-0.666675810491612	"S01"	0.666675810491612	"IS01"
"REST"	"REST"	0.665631314038214	-0.665631314038214	"S01"	0.665631314038214	"IS01"
"NUDT17"	"NUDT17"	0.664890490585806	-0.664890490585806	"S01"	0.664890490585806	"IS01"
"SETBP1"	"SETBP1"	0.664689154230704	-0.664689154230704	"S01"	0.664689154230704	"IS01"
"SLC35G5"	"SLC35G5"	0.663574965626176	-0.663574965626176	"S01"	0.663574965626176	"IS01"
"C18orf8"	"C18orf8"	0.662515044296817	-0.662515044296817	"S01"	0.662515044296817	"IS01"
"LSM6"	"LSM6"	0.659607988223493	-0.659607988223493	"S01"	0.659607988223493	"IS01"
"HDDC2"	"HDDC2"	0.65808828331949	-0.65808828331949	"S01"	0.65808828331949	"IS01"
"CCDC138"	"CCDC138"	0.655284034181872	-0.655284034181872	"S01"	0.655284034181872	"IS01"
"NSMCE4A"	"NSMCE4A"	0.655037319441829	-0.655037319441829	"S01"	0.655037319441829	"IS01"
"PDK3"	"PDK3"	0.655015213172279	-0.655015213172279	"S01"	0.655015213172279	"IS01"
"VEGFB"	"VEGFB"	0.65453064686821	-0.65453064686821	"S01"	0.65453064686821	"IS01"
"FTSJ1"	"FTSJ1"	0.652543377693572	-0.652543377693572	"S01"	0.652543377693572	"IS01"
"GPSM3"	"GPSM3"	0.65253019732682	-0.65253019732682	"S01"	0.65253019732682	"IS01"
"GGT7"	"GGT7"	0.650797067110726	-0.650797067110726	"S01"	0.650797067110726	"IS01"
"SPPL2B"	"SPPL2B"	0.649755671440692	-0.649755671440692	"S01"	0.649755671440692	"IS01"
"CXXC5"	"CXXC5"	0.649442711820087	-0.649442711820087	"S01"	0.649442711820087	"IS01"
"SNAPC5"	"SNAPC5"	0.64911606005527	-0.64911606005527	"S01"	0.64911606005527	"IS01"
"DNASE1L3"	"DNASE1L3"	0.648747233827025	-0.648747233827025	"S01"	0.648747233827025	"IS01"
"TSTD1"	"TSTD1"	0.647726709956632	-0.647726709956632	"S01"	0.647726709956632	"IS01"
"YEATS4"	"YEATS4"	0.647492187575519	-0.647492187575519	"S01"	0.647492187575519	"IS01"
"UPF2"	"UPF2"	0.646945550749735	-0.646945550749735	"S01"	0.646945550749735	"IS01"
"RPS6KA5"	"RPS6KA5"	0.646437945849037	-0.646437945849037	"S01"	0.646437945849037	"IS01"
"PSMD13"	"PSMD13"	0.646145958220843	-0.646145958220843	"S01"	0.646145958220843	"IS01"
"RPL8"	"RPL8"	0.645071104308778	-0.645071104308778	"S01"	0.645071104308778	"IS01"
"U2AF2"	"U2AF2"	0.644192333342499	-0.644192333342499	"S01"	0.644192333342499	"IS01"
