NAME	B_preGC	HRS	T_CD8	B_Memory	Plasma	DC_Conventional	T_gd	T_Treg	B_GC	T_MKI67	NK	T_CD4	DC_Plasmacytoid	Macrophage	ILC	CAF
SLC40A1	8.17426422307661760	3.47083639748451045	3.42676317236104655	3.61082198452797831	2.00577205760645150	125.45213879197120832	59.96413267297207028	7.55979683941051483	2.27914853412348961	17.33146067534250889	22.27739182248803473	174.17099401475326204	126.58457024352773601	58.23515947177149599	171.58206983909116161	512.47269737994611205
SLC4A10	1.00000000000000000	1.00000000000000000	24.80280550603555056	1.00000000000000000	1.15660350816410396	1.00000000000000000	2.20850041089899030	1.00000000000000000	2.66153136893326359	1.75313575343888584	35.14070378334518807	1.55736962617059982	1.00000000000000000	1.00000000000000000	361.67636800538087982	2.87241850787016428
SLC7A10	1.18585828029168461	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.07910116797183009	1.00000000000000000	1.00000000000000000	119.58469404683245330	1.00000000000000000	29.11041707066821971	1.00000000000000000	12.30999198179555876	1.00000000000000000	3.72901912055804097	1.00000000000000000	1.00000000000000000
SLC8A1	5.35307376177283167	164.87683726422068275	1.96794548175329864	3.19391792329170787	7.70765210638937148	1005.03831407388008756	6.60357193175308499	1.39775664308511161	7.11550360228616885	6.76964229611493451	1.00000000000000000	2.87230866296057163	22.05818499134922561	1069.67051167544991586	49.22630106400342243	443.10578479696727072
SLC8A3	1.09765683041474182	4.38585303007994742	1.00000000000000000	1.00000000000000000	1.00000000000000000	4.97122223677518704	1.00000000000000000	1.00000000000000000	1.82439069318470182	1.76608635331666353	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.73445199620761126	6.48535359523314892	1.18391894725476399
SLCO5A1	54.81475312050946513	14.62091853318422352	1.86743557410959737	94.89438647491138568	33.39745915652422070	240.55936031001613173	1.00000000000000000	2.31709136794229353	90.43402538175554639	2.26036049218595414	3.54670487093127429	2.32327292461636414	1.36092954846615144	3.05736030652690260	9.56196548319490525	30.73179577728905798
SLITRK6	1.00000000000000000	11.87335709397363814	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
SMIM14	2630.13248909090543748	206.67554454616703197	79.15617632481558985	2963.00854076460609576	94.80262024332940030	379.96467666385814255	212.26853147197175531	17.82489163948772770	1901.26315444495457996	21.88418071925290320	327.19417378893427895	81.14424653477863103	916.80504558317090869	229.60885899101867835	313.07164961071617881	362.92665356705799695
SMIM25	1.59670878447068132	74.31819826955641872	1.82154267444547013	1.00000000000000000	1.92272588056114291	55.99013136797399426	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.37312873048323247	1400.11710216128199136	1.00000000000000000	1.00000000000000000
SMIM5	5.00857244224409470	1.00000000000000000	1.80061038864492540	2.14157131090392916	3.05033080867596462	6.87965417036503801	1.00000000000000000	1.00000000000000000	2.41854078927370075	2.83115207929144397	3.71396514773683295	1.74375645417162728	887.73371238844060827	4.34889504409959571	3.20952088455467655	9.20412470724957821
SMIM6	1.74938577946654195	1.00000000000000000	1.00000000000000000	2.38740807090641294	4.62193019860883059	2.53841956227259402	1.00000000000000000	1.00000000000000000	1.21164518525304410	1.00000000000000000	2.73012374711522110	1.00000000000000000	201.05919790616567866	1.00000000000000000	7.11449902773654053	1.00000000000000000
SMKR1	10.92600918087295625	15.21913493267357431	19.24909313649099829	23.82593157041988974	1.55195764612223863	2.52711495458371349	82.73356319022980188	7.78599650038923219	4.24278641057865169	19.04872315463616061	83.38103097917378648	21.39594117511432003	1.63205389039433157	1.00000000000000000	1.00000000000000000	9.86014793180323323
SMOC1	1.36312504266098555	1.51554081758241832	3.67335921918907182	1.00000000000000000	3.86795418153803405	29.78078818646324066	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	153.39476423291301899	1.00000000000000000	1.00000000000000000	28.62542162339691032
SMPD3	8.83048186405674151	16.80967603987300052	32.51704667950728833	18.77138374900042095	10.38034416462400067	38.69697912218453695	36.43822785971059375	101.51935534715713061	8.89420559325393434	56.17228340594169111	14.98741909962722119	27.99185180815284113	2459.90762332026406511	9.44650560452759080	16.69691537143905791	13.67153483977181772
SMPDL3B	1.00000000000000000	5.59108613319727432	1.00000000000000000	2.67294890036392774	83.69211448624187710	2.45460643347938667	3.96937350197122951	1.00000000000000000	1.00000000000000000	2.69899113792876122	6.27422759241798111	1.00000000000000000	1.00000000000000000	1.00000000000000000	6.67655765109878896	2.90468265126790515
