"Gene"	"IS01"	"IS02"	"State"	"MaxFC"	"InitialState"
"HABP4"	"HABP4"	-0.584350157162517	0.584350157162517	"S02"	0.584350157162517	"IS02"
"PPP4R1"	"PPP4R1"	-0.578367776143496	0.578367776143496	"S02"	0.578367776143496	"IS02"
"PRR5L"	"PRR5L"	-0.562392658933363	0.562392658933363	"S02"	0.562392658933363	"IS02"
"SEC16A"	"SEC16A"	-0.551014217630349	0.551014217630349	"S02"	0.551014217630349	"IS02"
"RGMB"	"RGMB"	-0.538884270742773	0.538884270742773	"S02"	0.538884270742773	"IS02"
"GPS1"	"GPS1"	-0.536450156711449	0.536450156711449	"S02"	0.536450156711449	"IS02"
"ERN1"	"ERN1"	-0.530638022019274	0.530638022019274	"S02"	0.530638022019274	"IS02"
"ZMAT5"	"ZMAT5"	-0.519206397278527	0.519206397278527	"S02"	0.519206397278527	"IS02"
"NLRX1"	"NLRX1"	-0.516313548074818	0.516313548074818	"S02"	0.516313548074818	"IS02"
"ADGRG6"	"ADGRG6"	-0.515738522402382	0.515738522402382	"S02"	0.515738522402382	"IS02"
"AMBRA1"	"AMBRA1"	-0.491196896160879	0.491196896160879	"S02"	0.491196896160879	"IS02"
"CFAP70"	"CFAP70"	-0.487481550242748	0.487481550242748	"S02"	0.487481550242748	"IS02"
"TAF6"	"TAF6"	-0.470522686083131	0.470522686083131	"S02"	0.470522686083131	"IS02"
"BCL9"	"BCL9"	-0.467246354199124	0.467246354199124	"S02"	0.467246354199124	"IS02"
"PAGR1"	"PAGR1"	-0.451222289700227	0.451222289700227	"S02"	0.451222289700227	"IS02"
"RPN2"	"RPN2"	-0.449401543122085	0.449401543122085	"S02"	0.449401543122085	"IS02"
"FOXO3"	"FOXO3"	-0.442691169942125	0.442691169942125	"S02"	0.442691169942125	"IS02"
"SYNE3"	"SYNE3"	-0.43114554919385	0.43114554919385	"S02"	0.43114554919385	"IS02"
"MGST2"	"MGST2"	-0.429088910605611	0.429088910605611	"S02"	0.429088910605611	"IS02"
"ABCC5"	"ABCC5"	-0.424198147817565	0.424198147817565	"S02"	0.424198147817565	"IS02"
"ALAD"	"ALAD"	-0.423179538209298	0.423179538209298	"S02"	0.423179538209298	"IS02"
"RAP2A"	"RAP2A"	-0.396003241781986	0.396003241781986	"S02"	0.396003241781986	"IS02"
"WDR45B"	"WDR45B"	-0.381340335612853	0.381340335612853	"S02"	0.381340335612853	"IS02"
"EMC8"	"EMC8"	-0.38130888419437	0.38130888419437	"S02"	0.38130888419437	"IS02"
"PPFIBP2"	"PPFIBP2"	-0.375790763419095	0.375790763419095	"S02"	0.375790763419095	"IS02"
"ZDHHC3"	"ZDHHC3"	-0.374733911182123	0.374733911182123	"S02"	0.374733911182123	"IS02"
"PCTP"	"PCTP"	-0.367566344553564	0.367566344553564	"S02"	0.367566344553564	"IS02"
"KIAA0825"	"KIAA0825"	-0.357819520335914	0.357819520335914	"S02"	0.357819520335914	"IS02"
"NBPF10"	"NBPF10"	-0.353435656829922	0.353435656829922	"S02"	0.353435656829922	"IS02"
