"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"YY2"	"YY2"	0.824630240211693	-0.213350234343024	-0.823409417485353	"S01"	0.824630240211693	"IS01"
"SNRK"	"SNRK"	0.822717275851443	-0.583997097608489	-0.473619943725629	"S01"	0.822717275851443	"IS01"
"AKT3"	"AKT3"	0.81908781392975	-0.180509875479102	-0.847313113148646	"S01"	0.81908781392975	"IS01"
"ZSWIM1"	"ZSWIM1"	0.818881282318735	-0.40957412278868	-0.632349858064288	"S01"	0.818881282318735	"IS01"
"WDR89"	"WDR89"	0.81808865634014	-0.82269896506541	-0.244135211382465	"S01"	0.81808865634014	"IS01"
"SLC25A53"	"SLC25A53"	0.813323137477303	-0.631129058624809	-0.417783756118379	"S01"	0.813323137477303	"IS01"
"ANKRD44"	"ANKRD44"	0.81313377449877	-1.04212831689863	-0.0323101308034598	"S01"	0.81313377449877	"IS01"
"CAMK2G"	"CAMK2G"	0.812356457622932	-0.434716227411768	-0.600686137099936	"S01"	0.812356457622932	"IS01"
"TAS2R31"	"TAS2R31"	0.810238839408043	-0.567066634213884	-0.474003178888249	"S01"	0.810238839408043	"IS01"
"OMA1"	"OMA1"	0.806689816854593	-1.1290047210767	0.0571181453343984	"S01"	0.806689816854593	"IS01"
"RPL32"	"RPL32"	0.806425628616101	-0.116002966972675	-0.892062756954882	"S01"	0.806425628616101	"IS01"
"MRPS27"	"MRPS27"	0.806176845894453	-0.737996629760313	-0.308745706212196	"S01"	0.806176845894453	"IS01"
"FAM153C"	"FAM153C"	0.805298524639119	0.223696361181824	-1.20907162439208	"S01"	0.805298524639119	"IS01"
"C2orf15"	"C2orf15"	0.805095505303386	-0.0977592698501817	-0.907512257348847	"S01"	0.805095505303386	"IS01"
"OCM"	"OCM"	0.804559876820391	0.0757905178582958	-1.06951955190411	"S01"	0.804559876820391	"IS01"
"TRIP12"	"TRIP12"	0.804321231596144	-0.706239460349948	-0.336209532843725	"S01"	0.804321231596144	"IS01"
"FXYD7"	"FXYD7"	0.801035527249777	-0.0717621040461449	-0.926841434298636	"S01"	0.801035527249777	"IS01"
"SMARCC1"	"SMARCC1"	0.798827876151868	-0.998001294206641	-0.0559173705349545	"S01"	0.798827876151868	"IS01"
"UQCC1"	"UQCC1"	0.798504818684616	-0.602161764273845	-0.426545522999783	"S01"	0.798504818684616	"IS01"
"ACP1"	"ACP1"	0.797867454426221	-1.04707009885149	-0.00873219551544463	"S01"	0.797867454426221	"IS01"
"RIMBP3B"	"RIMBP3B"	0.795557288477596	-0.0523285324103121	-0.938258312529482	"S01"	0.795557288477596	"IS01"
"NR2C2"	"NR2C2"	0.795468508552333	-0.319977772075239	-0.68727463052035	"S01"	0.795468508552333	"IS01"
"SAMD12"	"SAMD12"	0.793220055230505	-0.481487772077742	-0.5330973761961	"S01"	0.793220055230505	"IS01"
"SKAP1"	"SKAP1"	0.792984810655249	-1.12699455858599	0.0722422400380764	"S01"	0.792984810655249	"IS01"
"RAB28"	"RAB28"	0.790555237212314	-0.37545302965287	-0.62917895889997	"S01"	0.790555237212314	"IS01"
"ACAP1"	"ACAP1"	0.790195725250529	-1.09172400073215	0.0426436989223536	"S01"	0.790195725250529	"IS01"
"CD69"	"CD69"	0.789678925361292	-0.756899278659789	-0.270553496319966	"S01"	0.789678925361292	"IS01"
"CENPP"	"CENPP"	0.787849333469723	-0.265490503180009	-0.728891151319625	"S01"	0.787849333469723	"IS01"
"MIER1"	"MIER1"	0.787650386339759	-0.741956999378206	-0.282041753544642	"S01"	0.787650386339759	"IS01"
"ATF7IP2"	"ATF7IP2"	0.785594196722527	-1.14625197804604	0.0994645831476159	"S01"	0.785594196722527	"IS01"
"HKR1"	"HKR1"	0.78554702388175	-0.786711760555374	-0.237481807350918	"S01"	0.78554702388175	"IS01"
"KBTBD3"	"KBTBD3"	0.78345655561759	-0.340401908103532	-0.653223498179374	"S01"	0.78345655561759	"IS01"
"NIN"	"NIN"	0.78335331293824	-1.1479723255858	0.103858096871315	"S01"	0.78335331293824	"IS01"
"ZFX"	"ZFX"	0.782977231052856	-0.630762743219691	-0.380467063610672	"S01"	0.782977231052856	"IS01"
"ICOS"	"ICOS"	0.782819151830254	-1.07064188819624	0.032037489114831	"S01"	0.782819151830254	"IS01"
"LRRC8C"	"LRRC8C"	0.780504296847983	-0.649659460558062	-0.359685781149228	"S01"	0.780504296847983	"IS01"
"TSPYL2"	"TSPYL2"	0.780282043360932	-0.574739626614325	-0.429633962768972	"S01"	0.780282043360932	"IS01"
"INPP5F"	"INPP5F"	0.779550685359573	-0.959843725000165	-0.0677598091668816	"S01"	0.779550685359573	"IS01"
"POLR1E"	"POLR1E"	0.778571875512508	-0.213374740408525	-0.766226835837162	"S01"	0.778571875512508	"IS01"
"MRPL42"	"MRPL42"	0.777735865675712	-0.322525699054275	-0.662879738175168	"S01"	0.777735865675712	"IS01"
"NPIPB5"	"NPIPB5"	0.777055250352495	-1.01309164854296	-0.0147524634840847	"S01"	0.777055250352495	"IS01"
"SUPT20H"	"SUPT20H"	0.776162741369649	-1.2482067172664	0.206733674757906	"S01"	0.776162741369649	"IS01"
"SNAP91"	"SNAP91"	0.774972898969348	-0.398395882065178	-0.58833603872252	"S01"	0.774972898969348	"IS01"
"IQCB1"	"IQCB1"	0.773534747520038	-1.01704741945407	-0.00667559834569159	"S01"	0.773534747520038	"IS01"
"RNF44"	"RNF44"	0.773132987442317	-0.78605420347061	-0.222692012501546	"S01"	0.773132987442317	"IS01"
"DLEU1"	"DLEU1"	0.772220187039216	-0.69618240638222	-0.305798010753653	"S01"	0.772220187039216	"IS01"
"TMEM186"	"TMEM186"	0.77187299898435	-0.379028709816966	-0.602642258768664	"S01"	0.77187299898435	"IS01"
"RPH3A"	"RPH3A"	0.771353589516159	-0.288218393941973	-0.687116159505213	"S01"	0.771353589516159	"IS01"
